fecha;cod_ruta;leche_tipo;leche_kg;leche_temp;leche_acidez;leche_ph;leche_dens;leche_est;leche_mg;leche_prot;leche_lactosa;leche_caseina
30/11/2015;24;VACA;7400;4,8;15;6,84;1,03;12,35;3,69;3,12;4,73;2,19
30/11/2015;26;VACA;6260;4,5;15;6,81;1,03;12,68;3,61;3,46;4,88;2,47
30/11/2015;32;VACA;26300;2,2;15;6,83;1,03;12,81;3,73;3,46;4,9;2,44
30/11/2015;28;VACA;16020;5,5;15;6,83;1,03;13,15;4,12;3,38;4,89;2,44
30/11/2015;25;VACA;11060;4,6;15;6,8;1,03;13;4,01;3,34;4,87;2,38
30/11/2015;27;VACA;12420;6;15;6,83;1,03;12,62;3,87;3,32;4,66;2,34
30/11/2015;30;VACA;27640;4;14;6,86;1,03;12,81;3,91;3,35;4,74;2,37
30/11/2015;33;VACA;23120;4,5;15;6,84;1,03;12,38;3,42;3,23;4,96;2,28
30/11/2015;18;VACA;25300;5;15;6,84;1,03;13,08;3,81;3,67;4,86;2,65
30/11/2015;29;VACA;14620;3,3;14;6,78;1,03;12,18;3,42;3,22;4,84;2,26
30/11/2015;29;VACA;11040;5;14;6,77;1,03;12,51;3,72;3,33;4,69;2,32
01/12/2015;32;VACA;24240;5,5;15;6,81;1,03;12,21;3,61;3,21;4,63;2,23
01/12/2015;26;VACA;6180;4,5;15;6,79;1,03;12,69;3,64;3,45;4,86;2,43
01/12/2015;24;VACA;16240;5,2;15;6,83;1,03;12,73;3,88;3,3;4,76;2,34
01/12/2015;24;VACA;3880;7,2;15;6,85;1,03;12,39;3,71;3,27;4,64;2,3
01/12/2015;25;VACA;10460;5,5;15;6,8;1,03;13,24;4,23;3,39;4,77;2,44
01/12/2015;27;VACA;12640;6,2;15;6,84;1,03;12,72;3,92;3,31;4,79;2,37
01/12/2015;18;VACA;25080;4,5;15;6,84;1,03;13,01;3,87;3,58;4,83;2,56
01/12/2015;29;VACA;25880;4,8;15;6,86;1,03;12,16;3,45;3,24;4,74;2,27
02/12/2015;24;VACA;14420;7,5;15;6,85;1,03;12,03;3,49;3,19;4,57;2,19
02/12/2015;24;VACA;6180;4,2;15;6,85;1,03;12,5;3,71;3,16;4,83;2,28
02/12/2015;32;VACA;26020;2;15;6,84;1,03;12,82;3,8;3,42;4,83;2,38
02/12/2015;28;VACA;15980;6,3;15;6,8;1,03;13,2;4,16;3,39;4,89;2,45
02/12/2015;26;VACA;6340;4,4;16;6,8;1,03;12,73;3,68;3,43;4,88;2,41
02/12/2015;25;VACA;10580;6,9;15;6,8;1,03;13,23;4,24;3,39;4,77;2,41
02/12/2015;27;VACA;12540;6,3;15;6,83;1,03;12,68;3,85;3,35;4,72;2,35
02/12/2015;33;VACA;22540;4,4;15;6,8;1,03;12,44;3,54;3,22;4,92;2,3
02/12/2015;30;VACA;26220;4;15;6,85;1,03;12,55;3,67;3,35;4,76;2,37
03/12/2015;32;VACA;24580;5,8;15;6,78;1,03;12,33;3,64;3,22;4,66;2,22
03/12/2015;26;VACA;6280;4,1;15;6,79;1,03;12,53;3,57;3,39;4,82;2,38
03/12/2015;29;VACA;16720;4;15;6,79;1,03;12,28;3,6;3,14;4,77;2,21
03/12/2015;29;VACA;7360;4;15;6,84;1,03;12,32;3,59;3,32;4,64;2,34
03/12/2015;25;VACA;11200;7;16;6,75;1,03;12,94;3,99;3,35;4,82;2,36
03/12/2015;27;VACA;13400;7,8;16;6,74;1,03;12,65;3,84;3,29;4,8;2,34
04/12/2015;29;VACA;22860;3,4;15;6,85;1,03;12,09;3,46;3,08;4,8;2,17
04/12/2015;24;VACA;15980;7,6;15;6,8;1,03;12,37;3,63;3,25;4,71;2,25
04/12/2015;24;VACA;8520;5,6;15;6,8;1,03;12,55;3,79;3,23;4,75;2,3
04/12/2015;30;VACA;22840;4,2;15;6,86;1,03;12,85;4,03;3,31;4,73;2,33
04/12/2015;26;VACA;6420;4,3;15;6,83;1,03;12,68;3,63;3,42;4,87;2,43
04/12/2015;28;VACA;16000;6,5;15;6,8;1,03;13,21;4,17;3,4;4,89;2,45
